StepNumber,BaseRotation,ShoulderPitch,ShoulderRoll,ElbowPitch,ElbowRoll,HandPitch,GripperRotation,EndEffectorX,EndEffectorY,EndEffectorZ,TargetX,TargetY,TargetZ,DistanceToTarget,DeltaBaseRotation,DeltaShoulderPitch,DeltaShoulderRoll,DeltaElbowPitch,DeltaElbowRoll,DeltaHandPitch,DeltaGripperRotation,DeltaX,DeltaY,DeltaY.1,Gripped,IsGood,BaseRight,BaseLeft,ShoulderDown,ShoulderUp,ElbowDown,ElbowUp,HandDown,HandUp
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,5.0,0.0,-126.0,0.0,126.0,48.0,7.40633e-06,0.515674,0.036217004,0.0,0.5,0.0,0.03946322,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.40633e-06,0.515674,0.036217004,False,True,0,0,1,0,0,0,0,0
2,0.0,10.0,0.0,-126.0,0.0,126.0,48.0,-6.6667399999999995e-06,0.504983,-0.007368996700000001,0.0,0.5,0.0,0.008895646,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.407307e-05,-0.010690986999999999,-0.043586,False,True,0,0,1,0,0,0,0,0
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,5.0,0.0,-126.0,0.0,126.0,48.0,6.5857e-07,0.515672,0.03620501,0.0,0.5,0.0,0.039451428,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.5857e-07,0.515672,0.03620501,False,True,0,0,1,0,0,0,0,0
2,0.0,10.0,0.0,-126.0,0.0,126.0,48.0,-9.70796e-05,0.504713,-0.007888004,0.0,0.5,0.0,0.009189255,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-9.773816999999999e-05,-0.010959028999999999,-0.044093013,False,True,0,0,1,0,0,0,0,0
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,-126.0,0.0,131.0,48.0,-1.01164e-05,0.541031,0.08962199,0.0,0.6,0.0,0.10728209,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-1.01164e-05,0.541031,0.08962199,False,True,0,0,0,0,0,0,1,0
2,0.0,0.0,0.0,-126.0,0.0,136.0,48.0,4.75871e-05,0.558455,0.099335015,0.0,0.6,0.0,0.107672825,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.77035e-05,0.017423987,0.009713024,False,True,0,0,0,0,0,0,1,0
3,0.0,0.0,0.0,-126.0,0.0,141.0,48.0,-8.54512e-05,0.574913,0.11047,0.0,0.6,0.0,0.11328276,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.0001330383,0.016458035,0.011134982,False,True,0,0,0,0,0,0,1,0
4,0.0,0.0,0.0,-126.0,0.0,146.0,48.0,-8.24317e-05,0.590353,0.12303099,0.0,0.6,0.0,0.12340865,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0195006e-06,0.015439986999999999,0.012560993000000001,False,True,0,0,0,0,0,0,1,0
